r11,r12,r13,r21,r22,r23,r31,r32,r33,c11,c12,c13,c21,c22,c23,c31,c32,c33
80.0,60.0,50.0,60.0,70.0,90.0,0.0,0.0,100.0,80.0,60.0,0.0,60.0,70.0,0.0,50.0,90.0,100.0
10.0,20.0,50.0,40.0,60.0,30.0,50.0,30.0,50.0,60.0,60.0,30.0,30.0,80.0,10.0,70.0,50.0,30.0
50.0,10.0,50.0,50.0,20.0,90.0,40.0,50.0,10.0,80.0,20.0,50.0,50.0,30.0,20.0,20.0,70.0,20.0
50.0,10.0,20.0,90.0,80.0,20.0,80.0,50.0,80.0,20.0,50.0,90.0,60.0,70.0,40.0,50.0,30.0,70.0
75.0,10.0,100.0,5.0,90.0,5.0,0.0,1.0,1.0,75.0,5.0,0.0,10.0,90.0,1.0,100.0,5.0,1.0
60.0,80.0,90.0,50.0,20.0,80.0,90.0,90.0,40.0,20.0,50.0,10.0,10.0,60.0,10.0,60.0,20.0,90.0
10.0,90.0,70.0,90.0,80.0,30.0,50.0,20.0,60.0,50.0,40.0,60.0,50.0,10.0,60.0,10.0,60.0,10.0
40.0,70.0,50.0,80.0,90.0,70.0,10.0,20.0,70.0,30.0,20.0,80.0,50.0,50.0,30.0,60.0,20.0,30.0
30.0,40.0,50.0,90.0,60.0,40.0,90.0,20.0,50.0,80.0,60.0,60.0,70.0,10.0,10.0,70.0,50.0,20.0
30.0,40.0,90.0,60.0,30.0,20.0,80.0,10.0,90.0,40.0,10.0,90.0,20.0,30.0,60.0,90.0,40.0,60.0
10.0,40.0,20.0,50.0,10.0,50.0,70.0,60.0,90.0,40.0,70.0,30.0,90.0,30.0,90.0,30.0,50.0,40.0
60.0,90.0,90.0,90.0,20.0,10.0,80.0,80.0,80.0,60.0,20.0,40.0,60.0,40.0,60.0,20.0,60.0,80.0
40.0,10.0,70.0,10.0,30.0,50.0,40.0,70.0,40.0,20.0,30.0,30.0,80.0,20.0,20.0,60.0,70.0,60.0
90.0,20.0,40.0,80.0,20.0,50.0,10.0,60.0,20.0,60.0,10.0,70.0,10.0,20.0,40.0,40.0,70.0,20.0
40.0,60.0,90.0,30.0,50.0,70.0,20.0,30.0,50.0,20.0,70.0,80.0,40.0,30.0,70.0,90.0,10.0,50.0
40.0,15.0,70.0,22.0,80.0,0.0,30.0,100.0,55.0,40.0,22.0,30.0,15.0,80.0,100.0,70.0,0.0,55.0
50.0,10.0,50.0,50.0,20.0,90.0,40.0,50.0,10.0,80.0,20.0,50.0,50.0,30.0,20.0,20.0,70.0,20.0
10.0,60.0,50.0,20.0,40.0,90.0,90.0,90.0,10.0,60.0,10.0,60.0,60.0,30.0,90.0,30.0,10.0,90.0
60.0,90.0,90.0,90.0,20.0,10.0,80.0,80.0,80.0,60.0,20.0,40.0,60.0,40.0,60.0,20.0,60.0,80.0
50.0,60.0,90.0,30.0,10.0,90.0,30.0,30.0,60.0,30.0,40.0,20.0,70.0,90.0,90.0,20.0,90.0,30.0
10.0,10.0,10.0,30.0,80.0,70.0,30.0,10.0,40.0,60.0,50.0,10.0,70.0,20.0,70.0,70.0,40.0,40.0
90.0,40.0,20.0,90.0,50.0,90.0,30.0,40.0,50.0,50.0,70.0,60.0,50.0,60.0,80.0,40.0,20.0,10.0
60.0,30.0,40.0,10.0,60.0,90.0,40.0,20.0,70.0,60.0,60.0,20.0,20.0,60.0,70.0,50.0,70.0,10.0
60.0,60.0,80.0,20.0,20.0,60.0,50.0,20.0,40.0,80.0,50.0,20.0,20.0,80.0,90.0,80.0,30.0,20.0
40.0,70.0,70.0,30.0,40.0,80.0,70.0,40.0,60.0,60.0,10.0,90.0,70.0,50.0,80.0,30.0,30.0,10.0
50.0,60.0,90.0,30.0,10.0,90.0,30.0,30.0,60.0,30.0,40.0,20.0,70.0,90.0,90.0,20.0,90.0,30.0
20.0,60.0,30.0,80.0,30.0,80.0,10.0,30.0,50.0,70.0,40.0,70.0,50.0,70.0,30.0,40.0,10.0,10.0
40.0,40.0,30.0,30.0,50.0,50.0,80.0,20.0,20.0,40.0,10.0,10.0,50.0,90.0,20.0,20.0,70.0,80.0
60.0,50.0,30.0,70.0,90.0,20.0,90.0,10.0,60.0,70.0,90.0,20.0,80.0,50.0,80.0,60.0,30.0,70.0
20.0,0.0,100.0,10.0,90.0,0.0,0.0,0.0,5.0,20.0,10.0,0.0,0.0,90.0,0.0,100.0,0.0,5.0
80.0,80.0,20.0,90.0,90.0,20.0,50.0,70.0,30.0,40.0,40.0,50.0,40.0,80.0,60.0,40.0,10.0,50.0
70.0,90.0,38.0,100.0,0.0,40.0,88.0,48.0,43.0,70.0,100.0,88.0,90.0,0.0,48.0,38.0,40.0,43.0
60.0,30.0,60.0,50.0,25.0,55.0,30.0,20.0,70.0,60.0,50.0,30.0,30.0,25.0,20.0,60.0,55.0,70.0
40.0,90.0,60.0,50.0,90.0,50.0,60.0,40.0,70.0,70.0,60.0,30.0,20.0,20.0,20.0,70.0,10.0,50.0
50.0,30.0,74.0,36.0,82.0,18.0,42.0,98.0,62.0,50.0,36.0,42.0,30.0,82.0,98.0,74.0,18.0,62.0
80.0,80.0,50.0,30.0,50.0,50.0,60.0,20.0,30.0,30.0,50.0,50.0,80.0,50.0,30.0,40.0,80.0,40.0
40.0,10.0,70.0,20.0,10.0,70.0,70.0,20.0,20.0,30.0,50.0,70.0,90.0,50.0,20.0,30.0,10.0,20.0
55.0,25.0,65.0,35.0,35.0,70.0,0.0,0.0,60.0,55.0,35.0,0.0,25.0,35.0,0.0,65.0,70.0,60.0
80.0,90.0,20.0,40.0,50.0,80.0,80.0,80.0,30.0,50.0,10.0,60.0,50.0,10.0,10.0,80.0,20.0,70.0
30.0,70.0,90.0,60.0,10.0,40.0,20.0,80.0,60.0,10.0,50.0,20.0,70.0,20.0,60.0,80.0,60.0,70.0
50.0,60.0,90.0,60.0,20.0,10.0,50.0,60.0,40.0,30.0,90.0,90.0,20.0,50.0,60.0,70.0,80.0,10.0
50.0,70.0,60.0,30.0,90.0,20.0,50.0,80.0,70.0,30.0,50.0,10.0,10.0,30.0,20.0,10.0,20.0,70.0
40.0,60.0,90.0,50.0,80.0,20.0,90.0,70.0,80.0,60.0,20.0,30.0,80.0,40.0,80.0,80.0,90.0,80.0
90.0,40.0,20.0,60.0,40.0,90.0,70.0,40.0,10.0,40.0,70.0,40.0,50.0,70.0,30.0,70.0,50.0,60.0
75.0,40.0,45.0,70.0,15.0,100.0,70.0,60.0,0.0,75.0,70.0,70.0,40.0,15.0,60.0,45.0,100.0,0.0
70.0,80.0,20.0,80.0,80.0,20.0,80.0,10.0,80.0,50.0,40.0,30.0,50.0,40.0,20.0,10.0,30.0,50.0
80.0,90.0,20.0,30.0,40.0,20.0,90.0,40.0,40.0,80.0,90.0,50.0,20.0,50.0,70.0,60.0,40.0,40.0
80.0,60.0,50.0,60.0,70.0,90.0,0.0,0.0,100.0,80.0,60.0,0.0,60.0,70.0,0.0,50.0,90.0,100.0
35.0,39.0,95.0,63.0,40.0,56.0,91.0,39.0,15.0,35.0,63.0,91.0,39.0,40.0,39.0,95.0,56.0,15.0
80.0,30.0,70.0,70.0,90.0,70.0,80.0,10.0,70.0,50.0,30.0,20.0,20.0,60.0,90.0,50.0,50.0,20.0
50.0,40.0,80.0,40.0,50.0,20.0,50.0,80.0,30.0,40.0,20.0,70.0,50.0,10.0,80.0,10.0,10.0,30.0
35.0,39.0,95.0,47.0,51.0,67.0,40.0,15.0,47.0,35.0,47.0,40.0,39.0,51.0,15.0,95.0,67.0,47.0
10.0,50.0,20.0,40.0,20.0,40.0,50.0,40.0,60.0,50.0,10.0,50.0,30.0,10.0,10.0,90.0,40.0,90.0
30.0,70.0,30.0,30.0,50.0,60.0,90.0,50.0,70.0,20.0,90.0,30.0,20.0,80.0,10.0,70.0,60.0,10.0
10.0,50.0,30.0,20.0,90.0,20.0,40.0,10.0,10.0,30.0,90.0,40.0,40.0,20.0,30.0,60.0,30.0,30.0
20.0,90.0,20.0,80.0,10.0,60.0,30.0,10.0,80.0,70.0,30.0,40.0,30.0,80.0,60.0,20.0,90.0,10.0
30.0,20.0,50.0,40.0,60.0,70.0,20.0,30.0,10.0,80.0,90.0,50.0,10.0,20.0,10.0,50.0,70.0,50.0
30.0,100.0,40.0,20.0,60.0,40.0,80.0,0.0,40.0,30.0,20.0,80.0,100.0,60.0,0.0,40.0,40.0,40.0
10.0,40.0,20.0,80.0,40.0,90.0,60.0,60.0,80.0,50.0,60.0,50.0,60.0,70.0,20.0,90.0,20.0,90.0
60.0,10.0,30.0,70.0,20.0,10.0,70.0,80.0,30.0,10.0,90.0,20.0,70.0,70.0,30.0,50.0,90.0,40.0
40.0,20.0,0.0,30.0,20.0,100.0,20.0,10.0,100.0,40.0,30.0,20.0,20.0,20.0,10.0,0.0,100.0,100.0
60.0,10.0,30.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,70.0,90.0,40.0,20.0,10.0,90.0,30.0,30.0
30.0,70.0,40.0,80.0,30.0,40.0,20.0,40.0,70.0,50.0,50.0,80.0,80.0,70.0,20.0,30.0,60.0,50.0
40.0,15.0,70.0,22.0,80.0,0.0,30.0,100.0,55.0,40.0,22.0,30.0,15.0,80.0,100.0,70.0,0.0,55.0
20.0,0.0,100.0,60.0,20.0,0.0,0.0,60.0,40.0,20.0,60.0,0.0,0.0,20.0,60.0,100.0,0.0,40.0
30.0,60.0,60.0,50.0,40.0,70.0,40.0,40.0,70.0,10.0,70.0,90.0,30.0,10.0,60.0,10.0,40.0,20.0
20.0,60.0,60.0,70.0,20.0,10.0,70.0,60.0,60.0,50.0,40.0,10.0,60.0,30.0,20.0,70.0,90.0,40.0
50.0,40.0,70.0,80.0,40.0,70.0,40.0,70.0,60.0,80.0,90.0,30.0,50.0,40.0,60.0,50.0,30.0,90.0
30.0,60.0,20.0,70.0,40.0,50.0,60.0,10.0,50.0,10.0,60.0,40.0,60.0,40.0,60.0,80.0,50.0,60.0
55.0,0.0,25.0,50.0,50.0,30.0,35.0,100.0,35.0,55.0,50.0,35.0,0.0,50.0,100.0,25.0,30.0,35.0
30.0,10.0,60.0,40.0,70.0,20.0,10.0,60.0,70.0,40.0,20.0,50.0,80.0,90.0,40.0,40.0,80.0,50.0
80.0,50.0,10.0,20.0,40.0,30.0,20.0,80.0,70.0,20.0,80.0,70.0,90.0,10.0,90.0,80.0,40.0,80.0
70.0,90.0,60.0,40.0,30.0,50.0,70.0,50.0,90.0,20.0,30.0,60.0,30.0,50.0,70.0,70.0,90.0,50.0
60.0,70.0,40.0,90.0,50.0,30.0,50.0,10.0,10.0,20.0,70.0,90.0,60.0,10.0,70.0,60.0,10.0,20.0
30.0,50.0,60.0,30.0,30.0,70.0,70.0,50.0,40.0,90.0,50.0,30.0,40.0,40.0,80.0,40.0,20.0,40.0
70.0,60.0,30.0,60.0,30.0,40.0,20.0,50.0,90.0,20.0,40.0,90.0,40.0,60.0,70.0,70.0,50.0,90.0
80.0,20.0,50.0,80.0,40.0,80.0,30.0,20.0,80.0,40.0,70.0,70.0,40.0,30.0,10.0,50.0,60.0,30.0
45.0,50.0,21.0,41.0,0.0,40.0,40.0,100.0,0.0,45.0,41.0,40.0,50.0,0.0,100.0,21.0,40.0,0.0
80.0,60.0,90.0,90.0,30.0,10.0,90.0,40.0,50.0,10.0,80.0,60.0,50.0,70.0,80.0,70.0,30.0,20.0
30.0,60.0,20.0,70.0,40.0,50.0,60.0,10.0,50.0,10.0,60.0,40.0,60.0,40.0,60.0,80.0,50.0,60.0
40.0,70.0,70.0,50.0,20.0,40.0,10.0,70.0,90.0,10.0,70.0,40.0,80.0,70.0,70.0,80.0,20.0,10.0
60.0,20.0,90.0,40.0,90.0,60.0,20.0,90.0,20.0,30.0,50.0,60.0,70.0,40.0,50.0,10.0,30.0,90.0
75.0,40.0,45.0,70.0,15.0,100.0,70.0,60.0,0.0,75.0,70.0,70.0,40.0,15.0,60.0,45.0,100.0,0.0
10.0,50.0,90.0,70.0,30.0,60.0,60.0,90.0,20.0,90.0,20.0,80.0,70.0,40.0,10.0,70.0,50.0,40.0
10.0,20.0,40.0,90.0,80.0,90.0,40.0,60.0,70.0,60.0,20.0,70.0,80.0,50.0,10.0,30.0,10.0,40.0
15.0,0.0,0.0,0.0,90.0,10.0,100.0,0.0,20.0,15.0,0.0,100.0,0.0,90.0,0.0,0.0,10.0,20.0
90.0,20.0,60.0,90.0,60.0,60.0,60.0,40.0,70.0,60.0,20.0,60.0,30.0,60.0,50.0,60.0,60.0,50.0
60.0,50.0,30.0,70.0,90.0,20.0,90.0,10.0,60.0,70.0,90.0,20.0,80.0,50.0,80.0,60.0,30.0,70.0
70.0,10.0,30.0,90.0,70.0,80.0,20.0,70.0,40.0,30.0,50.0,40.0,50.0,70.0,40.0,60.0,40.0,20.0
70.0,20.0,40.0,90.0,50.0,60.0,50.0,40.0,50.0,10.0,80.0,80.0,70.0,10.0,80.0,80.0,10.0,70.0
80.0,80.0,10.0,20.0,50.0,30.0,60.0,40.0,20.0,50.0,80.0,90.0,70.0,30.0,60.0,10.0,70.0,30.0
80.0,70.0,80.0,50.0,80.0,50.0,30.0,30.0,10.0,30.0,90.0,30.0,40.0,10.0,70.0,60.0,30.0,50.0
80.0,30.0,30.0,90.0,40.0,70.0,20.0,30.0,50.0,80.0,90.0,30.0,90.0,30.0,90.0,50.0,10.0,30.0
79.0,51.0,55.0,59.0,31.0,99.0,59.0,67.0,19.0,79.0,59.0,59.0,51.0,31.0,67.0,55.0,99.0,19.0
0.0,100.0,50.0,90.0,63.0,50.0,46.0,82.0,52.0,0.0,90.0,46.0,100.0,63.0,82.0,50.0,50.0,52.0
80.0,60.0,30.0,10.0,60.0,90.0,30.0,70.0,50.0,30.0,30.0,20.0,30.0,50.0,90.0,80.0,30.0,70.0
40.0,60.0,20.0,40.0,50.0,30.0,20.0,30.0,20.0,50.0,20.0,20.0,80.0,80.0,30.0,70.0,20.0,40.0
60.0,20.0,20.0,40.0,90.0,30.0,70.0,90.0,80.0,10.0,80.0,90.0,50.0,10.0,90.0,10.0,10.0,50.0
10.0,40.0,20.0,80.0,40.0,90.0,60.0,60.0,80.0,50.0,60.0,50.0,60.0,70.0,20.0,90.0,20.0,90.0
20.0,90.0,80.0,40.0,30.0,60.0,60.0,70.0,20.0,40.0,90.0,10.0,90.0,60.0,10.0,50.0,30.0,60.0
60.0,50.0,20.0,20.0,50.0,80.0,90.0,50.0,10.0,80.0,80.0,90.0,90.0,90.0,40.0,80.0,30.0,90.0
80.0,10.0,5.0,25.0,0.0,10.0,5.0,100.0,20.0,80.0,25.0,5.0,10.0,0.0,100.0,5.0,10.0,20.0
90.0,30.0,90.0,20.0,10.0,40.0,50.0,40.0,40.0,40.0,90.0,30.0,50.0,30.0,90.0,80.0,10.0,20.0
50.0,50.0,60.0,40.0,20.0,70.0,80.0,60.0,30.0,70.0,60.0,30.0,70.0,20.0,60.0,60.0,20.0,20.0
80.0,70.0,10.0,60.0,50.0,40.0,80.0,20.0,80.0,90.0,40.0,20.0,60.0,50.0,60.0,80.0,50.0,60.0
20.0,60.0,60.0,70.0,20.0,10.0,70.0,60.0,60.0,50.0,40.0,10.0,60.0,30.0,20.0,70.0,90.0,40.0
70.0,90.0,40.0,90.0,60.0,10.0,80.0,40.0,40.0,80.0,10.0,20.0,70.0,40.0,40.0,50.0,90.0,50.0
80.0,90.0,20.0,30.0,40.0,20.0,90.0,40.0,40.0,80.0,90.0,50.0,20.0,50.0,70.0,60.0,40.0,40.0
20.0,30.0,100.0,40.0,40.0,60.0,30.0,0.0,40.0,20.0,40.0,30.0,30.0,40.0,0.0,100.0,60.0,40.0
80.0,90.0,30.0,90.0,80.0,10.0,10.0,70.0,90.0,60.0,70.0,40.0,60.0,40.0,20.0,90.0,80.0,40.0
10.0,80.0,10.0,90.0,90.0,10.0,60.0,10.0,30.0,20.0,60.0,20.0,40.0,60.0,60.0,90.0,70.0,50.0
80.0,10.0,30.0,30.0,40.0,70.0,30.0,20.0,30.0,70.0,30.0,70.0,10.0,80.0,80.0,70.0,70.0,60.0
50.0,10.0,70.0,20.0,60.0,40.0,30.0,10.0,10.0,10.0,60.0,60.0,50.0,70.0,50.0,70.0,70.0,10.0
60.0,60.0,50.0,40.0,60.0,30.0,20.0,70.0,60.0,40.0,40.0,40.0,50.0,40.0,90.0,30.0,90.0,60.0
50.0,60.0,90.0,60.0,20.0,10.0,50.0,60.0,40.0,30.0,90.0,90.0,20.0,50.0,60.0,70.0,80.0,10.0
80.0,30.0,90.0,80.0,50.0,50.0,40.0,20.0,70.0,70.0,20.0,30.0,60.0,50.0,30.0,70.0,90.0,40.0
70.0,10.0,60.0,70.0,40.0,50.0,50.0,80.0,80.0,90.0,60.0,30.0,40.0,90.0,50.0,80.0,80.0,40.0
80.0,90.0,20.0,40.0,50.0,80.0,80.0,80.0,30.0,50.0,10.0,60.0,50.0,10.0,10.0,80.0,20.0,70.0
60.0,30.0,30.0,30.0,70.0,30.0,60.0,50.0,90.0,10.0,30.0,40.0,10.0,90.0,40.0,50.0,70.0,70.0
40.0,60.0,90.0,50.0,80.0,20.0,90.0,70.0,80.0,60.0,20.0,30.0,80.0,40.0,80.0,80.0,90.0,80.0
50.0,60.0,40.0,10.0,90.0,80.0,30.0,90.0,70.0,30.0,80.0,30.0,10.0,20.0,70.0,10.0,20.0,70.0
50.0,90.0,50.0,60.0,60.0,80.0,80.0,40.0,40.0,70.0,70.0,10.0,60.0,60.0,60.0,90.0,40.0,10.0
80.0,80.0,20.0,20.0,100.0,0.0,100.0,10.0,30.0,80.0,20.0,100.0,80.0,100.0,10.0,20.0,0.0,30.0
40.0,20.0,10.0,20.0,40.0,50.0,80.0,50.0,10.0,30.0,30.0,70.0,20.0,70.0,20.0,40.0,10.0,80.0
30.0,20.0,50.0,40.0,60.0,70.0,20.0,30.0,10.0,80.0,90.0,50.0,10.0,20.0,10.0,50.0,70.0,50.0
30.0,40.0,20.0,70.0,30.0,20.0,10.0,40.0,60.0,30.0,30.0,70.0,60.0,50.0,20.0,10.0,50.0,70.0
55.0,10.0,100.0,5.0,90.0,5.0,15.0,0.0,0.0,55.0,5.0,15.0,10.0,90.0,0.0,100.0,5.0,0.0
30.0,60.0,60.0,50.0,40.0,70.0,40.0,40.0,70.0,10.0,70.0,90.0,30.0,10.0,60.0,10.0,40.0,20.0
90.0,70.0,80.0,90.0,10.0,60.0,60.0,10.0,60.0,90.0,10.0,60.0,40.0,80.0,10.0,50.0,20.0,10.0
50.0,40.0,30.0,40.0,50.0,40.0,80.0,60.0,90.0,60.0,20.0,50.0,70.0,70.0,60.0,10.0,20.0,60.0
40.0,20.0,10.0,20.0,40.0,50.0,80.0,50.0,10.0,30.0,30.0,70.0,20.0,70.0,20.0,40.0,10.0,80.0
20.0,80.0,30.0,40.0,10.0,90.0,90.0,20.0,10.0,50.0,80.0,80.0,70.0,40.0,80.0,70.0,60.0,10.0
40.0,60.0,90.0,30.0,50.0,70.0,20.0,30.0,50.0,20.0,70.0,80.0,40.0,30.0,70.0,90.0,10.0,50.0
70.0,70.0,80.0,30.0,40.0,20.0,80.0,70.0,50.0,30.0,90.0,90.0,80.0,50.0,30.0,20.0,70.0,50.0
20.0,40.0,80.0,80.0,10.0,30.0,20.0,40.0,70.0,20.0,50.0,20.0,50.0,90.0,30.0,40.0,10.0,90.0
30.0,50.0,100.0,40.0,45.0,10.0,35.0,60.0,0.0,30.0,40.0,35.0,50.0,45.0,60.0,100.0,10.0,0.0
10.0,70.0,90.0,70.0,90.0,40.0,80.0,30.0,90.0,50.0,70.0,80.0,70.0,80.0,90.0,90.0,90.0,60.0
70.0,80.0,60.0,80.0,50.0,80.0,10.0,80.0,80.0,20.0,40.0,50.0,90.0,10.0,10.0,90.0,40.0,50.0
30.0,80.0,40.0,30.0,30.0,90.0,30.0,60.0,40.0,90.0,30.0,30.0,70.0,10.0,70.0,90.0,40.0,80.0
20.0,90.0,90.0,40.0,40.0,70.0,60.0,10.0,40.0,10.0,70.0,30.0,70.0,20.0,30.0,50.0,30.0,90.0
10.0,100.0,10.0,0.0,0.0,0.0,5.0,5.0,90.0,10.0,0.0,5.0,100.0,0.0,5.0,10.0,0.0,90.0
40.0,60.0,90.0,10.0,90.0,40.0,10.0,40.0,40.0,90.0,50.0,60.0,20.0,20.0,60.0,50.0,60.0,20.0
40.0,40.0,10.0,60.0,10.0,40.0,50.0,90.0,70.0,70.0,50.0,10.0,60.0,40.0,70.0,90.0,30.0,10.0
60.0,10.0,50.0,20.0,20.0,60.0,10.0,90.0,10.0,60.0,40.0,30.0,70.0,50.0,70.0,20.0,60.0,70.0
30.0,70.0,40.0,30.0,40.0,20.0,50.0,30.0,70.0,80.0,60.0,30.0,60.0,70.0,10.0,60.0,20.0,80.0
40.0,20.0,10.0,60.0,20.0,90.0,40.0,90.0,60.0,60.0,30.0,20.0,30.0,50.0,60.0,70.0,40.0,50.0
70.0,40.0,80.0,80.0,50.0,50.0,10.0,20.0,30.0,30.0,20.0,60.0,90.0,60.0,80.0,40.0,10.0,70.0
60.0,50.0,80.0,60.0,70.0,70.0,50.0,40.0,10.0,60.0,30.0,70.0,90.0,30.0,20.0,90.0,10.0,10.0
60.0,10.0,30.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,70.0,90.0,40.0,20.0,10.0,90.0,30.0,30.0
